RBICS_Code_A,RBICS_Code_B,Direction,Relationship,Derivation
6430,6430,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
6450,6450,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
6760,6760,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
7040,7040,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
7091,7091,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
7330,7330,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
7970,7970,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8210,8210,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8220,8220,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8510,8510,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8520,8520,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8530,8530,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8550,8550,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8570,8570,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8580,8580,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8591,8591,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
8592,8592,Bi,same_industry_proxy,Derived from RBICS_PrimaryCode present in Result_CAPMfit_abnormalreturns.csv
